Title,Tags
MC Address:,"531 UPPER CROSS STREET
#4-12 HONG LIM COMPLEX
 SINGAPORE 50531"
MC Contact No.:,63345565
Name of Managing Agent:,DICKSON PROPERTY CONSULTANTS PTE LTD
Managing Agent Contact No.:,63345565
MCST No:,0651
UEN:,S83MC0651J
Date of MC Constitution:,30/03/1983
Development Name:,LUCKY PLAZA
Status:,Active
Development Location:,304 ORCHARD ROAD SINGAPORE 238863
MC Address:,"304 ORCHARD ROAD
#06-50 LUCKY PLAZA
 SINGAPORE 238863"
MC Contact No.:,62353294
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0652
UEN:,S83MC0652E
Date of MC Constitution:,30/03/1983
Development Name:,
Status:,Terminated
Development Location:,38/A MIMOSA ROAD SINGAPORE 807998
MC Address:,"UPPER CROSS STREET

 SINGAPORE"
MC Contact No.:,
Name of Managing Agent:,KNIGHT FRANK ESTATE MANAGEMENT PTE LTD
Managing Agent Contact No.:,63723033
MCST No:,0653
UEN:,S83MC0653A
Date of MC Constitution:,12/04/1983
Development Name:,LINCOLNSVALE TERMINATED
Status:,Terminated
Development Location:,20 SURREY ROAD SINGAPORE 307753
MC Address:,"20 SURREY ROAD
LINCOLNSVALE
 SINGAPORE 307753"
MC Contact No.:,62569333
Name of Managing Agent:,NEWMAN & GOH PROPERTY CONSULTANTS (PTE) LTD
Managing Agent Contact No.:,62569333
MCST No:,0654
UEN:,S83MC0654H
Date of MC Constitution:,12/04/1983
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0654
Status:,Active
Development Location:,62B JOO CHIAT PLACE SINGAPORE 427785
MC Address:,"62 JOO CHIAT PLACE

 SINGAPORE 427785"
MC Contact No.:,63457515
Name of Managing Agent:,NEWMAN & GOH PROPERTY CONSULTANTS (PTE) LTD
Managing Agent Contact No.:,62569333
MCST No:,0655
UEN:,S83MC0655D
Date of MC Constitution:,12/04/1983
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0655
Status:,Active
Development Location:,287A CHANGI ROAD SINGAPORE 419766
MC Address:,"287 CHANGI ROAD

 SINGAPORE 419766"
MC Contact No.:,67420324
Name of Managing Agent:,NEWMAN & GOH PROPERTY CONSULTANTS (PTE) LTD
Managing Agent Contact No.:,62569333
MCST No:,0656
UEN:,S83MC0656L
Date of MC Constitution:,19/04/1983
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,NEWMAN & GOH PROPERTY CONSULTANTS (PTE) LTD
Managing Agent Contact No.:,62569333
MCST No:,0657
UEN:,S83MC0657G
Date of MC Constitution:,20/04/1983
Development Name:,Management Corporation Strata Title Plan No. 0657
Status:,Active
Development Location:,255 JOO CHIAT ROAD SINGAPORE 427509
MC Address:,"103 TAI HWAN HEIGHTS

 SINGAPORE 555448"
MC Contact No.:,62833371
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0658
UEN:,S83MC0658C
Date of MC Constitution:,20/04/1983
Development Name:,Management Corporation Strata Title Plan No. 0658
Status:,Active
Development Location:,191 EAST COAST ROAD SINGAPORE 428897
MC Address:,"185A EAST COAST ROAD

 SINGAPORE 428891"
MC Contact No.:,67459698
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0659
UEN:,S83MC0659K
Date of MC Constitution:,28/04/1983
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0660
UEN:,S83MC0660G
Date of MC Constitution:,29/04/1983
Development Name:,Management Corporation Strata Title Plan No.0660
Status:,Active
Development Location:,3A THONG SOON AVENUE SINGAPORE 787431
MC Address:,"108 POTONG PASIR AVENUE 1
#10-484 
 SINGAPORE 350108"
MC Contact No.:,97599868
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0661
UEN:,S83MC0661C
Date of MC Constitution:,30/04/1983
Development Name:,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0661
Status:,Active
Development Location:,443C GEYLANG ROAD SINGAPORE 389403
MC Address:,"23 BROADRICK ROAD
443 GEYLANG ROAD
 SINGAPORE 439503"
MC Contact No.:,63485525
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0662
UEN:,S83MC0662K
Date of MC Constitution:,03/05/1983
Development Name:,NIM PARK CONDOMINIUM
Status:,Terminated
Development Location:,61 NIM ROAD SINGAPORE 807578
MC Address:,"71 NIM ROAD
NIM PARK CONDOMINIUM
 SINGAPORE 807588"
MC Contact No.:,62501102
Name of Managing Agent:,BOND PROPERTIES PTE LTD
Managing Agent Contact No.:,62501102
MCST No:,0663
UEN:,S83MC0663F
Date of MC Constitution:,11/05/1983
Development Name:,(Terminated)
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,BOND PROPERTIES PTE LTD
Managing Agent Contact No.:,62501102
MCST No:,0664
UEN:,S83MC0664B
Date of MC Constitution:,18/05/1983
Development Name:,ORCHARD TOWERS
Status:,Active
Development Location:,400 ORCHARD ROAD SINGAPORE 238875
MC Address:,"400 ORCHARD ROAD
#06-12 ORCHARD TOWERS
 SINGAPORE 238875"
MC Contact No.:,67342326
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0665
UEN:,S83MC0665J
Date of MC Constitution:,02/06/1983
Development Name:,GOLDEN WALL CENTRE
Status:,Terminated
Development Location:,89 SHORT STREET SINGAPORE 188216
MC Address:,"89 
#06-00 GOLDEN WALL CENTRE
 SINGAPORE 188216"
MC Contact No.:,63382582
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0666
UEN:,S83MC0666E
Date of MC Constitution:,03/06/1983
Development Name:,MINBU VILLA
Status:,Active
Development Location:,56 MINBU ROAD SINGAPORE 308185
MC Address:,"56 MINBU ROAD
#01-01 MINBU VILLA
 SINGAPORE 308185"
MC Contact No.:,67412285
Name of Managing Agent:,R U Asset Management Pte Ltd
Managing Agent Contact No.:,67412285
MCST No:,0667
UEN:,S83MC0667A
Date of MC Constitution:,14/06/1983
Development Name:,BYLANDS BUILDING
Status:,Active
Development Location:,135 MIDDLE ROAD SINGAPORE 188975
MC Address:,"8 BURN ROAD
#17-06 TRIVEX
 SINGAPORE 369977"
MC Contact No.:,67026018
Name of Managing Agent:,Absolut Properties Pte Ltd
Managing Agent Contact No.:,6702 6018
MCST No:,0668
UEN:,S83MC0668H
Date of MC Constitution:,18/06/1983
Development Name:,HOLLANDSWOOD COURT
Status:,Active
Development Location:,3 HOLLAND PARK SINGAPORE 249473
MC Address:,"3 HOLLAND PARK
HOLLANDSWOOD COURT
 SINGAPORE 249473"
MC Contact No.:,64685100
Name of Managing Agent:,Chambers Property Management Services Pte Ltd
Managing Agent Contact No.:,64685100
MCST No:,0669
UEN:,S83MC0669D
Date of MC Constitution:,30/06/1983
Development Name:,CITY PLAZA
Status:,Active
Development Location:,810 GEYLANG ROAD SINGAPORE 409286
MC Address:,"810 GEYLANG ROAD
#07-00 CITY PLAZA
 SINGAPORE 409286"
MC Contact No.:,67480997
Name of Managing Agent:,Simply Sakal Pte Ltd (Formerly known as Aces Assets Management Pte Ltd)
Managing Agent Contact No.:,6255 5652
MCST No:,0670
UEN:,S83MC0670A
Date of MC Constitution:,30/06/1983
Development Name:,PEI FU INDUSTRIAL BUILDING (TERMINATED)
Status:,Terminated
Development Location:,24 NEW INDUSTRIAL ROAD SINGAPORE 389729
MC Address:,"1014 GEYLANG EAST AVENUE 3
#07-216 
 SINGAPORE 389729"
MC Contact No.:,68440801
Name of Managing Agent:,Halley Service Pte Ltd
Managing Agent Contact No.:,68440801
MCST No:,0671
UEN:,S83MC0671H
Date of MC Constitution:,01/07/1983
Development Name:,Management Corporation Strata Title Plan No. 0671
Status:,Active
Development Location:,60B LORONG L TELOK KURAU SINGAPORE 425504
MC Address:,"LORONG L TELOK KURAU

 SINGAPORE 425504"
MC Contact No.:,
Name of Managing Agent:,HALLEY SERVICES PTE LTD
Managing Agent Contact No.:,68440801
MCST No:,0672
UEN:,S83MC0672D
Date of MC Constitution:,01/07/1983
Development Name:,Management Corporation Strata Title Plan No. 0672
Status:,Active
Development Location:,40/A/B/C BRISTOL ROAD SINGAPORE 219851
MC Address:,"40A BRISTOL ROAD
 
 SINGAPORE 219851"
MC Contact No.:,96555487
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0673
UEN:,S83MC0673L
Date of MC Constitution:,08/07/1983
Development Name:,CASTLE COURT
Status:,Terminated
Development Location:,
MC Address:,"LORONG 23 GEYLANG
#4-1 
 SINGAPORE 388386"
MC Contact No.:,
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0674
UEN:,S83MC0674G
Date of MC Constitution:,11/07/1983
Development Name:,KENG LEE VIEW
Status:,Active
Development Location:,108 KENG LEE ROAD SINGAPORE 219286
MC Address:,"108 KENG LEE ROAD
#01-01 KENG LEE VIEW
 SINGAPORE 219268"
MC Contact No.:,64404600
Name of Managing Agent:,Outocoz Property Services Pte Ltd
Managing Agent Contact No.:,64404600
MCST No:,0675
UEN:,S83MC0675C
Date of MC Constitution:,19/07/1983
Development Name:,HOLLAND ROAD SHOPPING CENTRE
Status:,Active
Development Location:,211 HOLLAND AVENUE SINGAPORE 278967
MC Address:,"211 HOLLAND AVENUE
#04-02 HOLLAND ROAD SHOPPING CENTRE
 SINGAPORE 278967"
MC Contact No.:,64678137
Name of Managing Agent:,CBRE Pte Ltd
Managing Agent Contact No.:,62291167
MCST No:,0676
UEN:,S83MC0676K
Date of MC Constitution:,19/07/1983
Development Name:,PARKWAY MANSION
Status:,Terminated
Development Location:,9 AMBER ROAD SINGAPORE 439854
MC Address:,"9 
PARKWAY MANSION

 SINGAPORE 439854"
MC Contact No.:,6554 9591
Name of Managing Agent:,AMPM Property Consultants Pte Ltd
Managing Agent Contact No.:,6554 9591
MCST No:,0677
UEN:,S83MC0677F
Date of MC Constitution:,01/08/1983
Development Name:,GOLDEN MILE TOWER
Status:,Active
Development Location:,6001 BEACH ROAD SINGAPORE 199589
MC Address:,"6001 BEACH ROAD
#01-59 GOLDEN MILE TOWER
 SINGAPORE 199589"
MC Contact No.:,62972260
Name of Managing Agent:,SCMS Property Management Pte Ltd
Managing Agent Contact No.:,65354600
MCST No:,0678
UEN:,S83MC0678B
Date of MC Constitution:,02/08/1983
Development Name:,VERDUN HOUSE
Status:,Active
Development Location:,9A VERDUN ROAD SINGAPORE 207277
MC Address:,"6 VERDUN ROAD
VERDUN HOUSE
 SINGAPORE 207275"
MC Contact No.:,64407948
Name of Managing Agent:,Teams Strata Management Services Pte Ltd
Managing Agent Contact No.:,64407948
MCST No:,0679
UEN:,S83MC0679J
Date of MC Constitution:,02/08/1983
Development Name:,NAUNG COURT
Status:,Terminated
Development Location:,9/A/B/C JALAN NAUNG SINGAPORE 537676
MC Address:,"- JALAN NAUNG
NAUNG COURT
 SINGAPORE 537670"
MC Contact No.:,64895447
Name of Managing Agent:,Yiwan Servic es
Managing Agent Contact No.:,64895447
MCST No:,0680
UEN:,S83MC0680F
Date of MC Constitution:,03/08/1983
Development Name:,Management Corporation Strata Title Plan No. 0680
Status:,Active
Development Location:,683A EAST COAST ROAD SINGAPORE 459052
MC Address:,"681 EAST COAST ROAD

 SINGAPORE 459052"
MC Contact No.:,64481428
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0681
UEN:,S83MC0681B
Date of MC Constitution:,06/08/1983
Development Name:,BEAUTY WORLD PLAZA
Status:,Active
Development Location:,140 UPPER BUKIT TIMAH ROAD SINGAPORE 588716
MC Address:,"140 UPPER BUKIT TIMAH ROAD
BEAUTY WORLD PLAZA
 SINGAPORE 588176"
MC Contact No.:,68421731
Name of Managing Agent:,Chambers Property Management Services Pte Ltd
Managing Agent Contact No.:,68421731
MCST No:,0682
UEN:,S83MC0682J
Date of MC Constitution:,15/08/1983
Development Name:,Management Corporation Strata Title Plan No. 0682
Status:,Active
Development Location:,20 BEATTY ROAD SINGAPORE 209947
MC Address:,"22B BEATTY ROAD

 SINGAPORE 209947"
MC Contact No.:,62963819
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0683
UEN:,S83MC0683E
Date of MC Constitution:,15/08/1983
Development Name:,DRAGON PEARL APARTMENT (Terminated)
Status:,Terminated
Development Location:,315 RIVER VALLEY ROAD SINGAPORE 238354
MC Address:,"VICTORIA STREET

 SINGAPORE"
MC Contact No.:,
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0684
UEN:,S83MC0684A
Date of MC Constitution:,15/08/1983
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,"JOO CHIAT ROAD

 SINGAPORE 427542"
MC Contact No.:,63447496
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0685
UEN:,S83MC0685H
Date of MC Constitution:,18/08/1983
Development Name:,FOO WAH INDUSTRIAL BUILDING
Status:,Active
Development Location:,45 JALAN PEMIMPIN SINGAPORE 577197
MC Address:,"45 JALAN PEMIMPIN
FOO WAH INDUSTRIAL BUILDING
 SINGAPORE 577197"
MC Contact No.:,98398062
Name of Managing Agent:,CRANES REAL ESTATE PTE LTD
Managing Agent Contact No.:,98398062
MCST No:,0686
UEN:,S83MC0686D
Date of MC Constitution:,29/08/1983
Development Name:,PEACE CENTRE / PEACE MANSION
Status:,Active
Development Location:,1 SOPHIA ROAD SINGAPORE 228149
MC Address:,"1 SOPHIA ROAD
#10-01 PEACE CENTRE / PEACE MANSION
 SINGAPORE 228149"
MC Contact No.:,63363480
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0687
UEN:,S83MC0687L
Date of MC Constitution:,29/08/1983
Development Name:,KOH BROTHERS BUILDING
Status:,Active
Development Location:,11 LORONG PENDEK SINGAPORE 348639
MC Address:,"11 LORONG PENDEK
KOH BROTHERS BUILDING
 SINGAPORE 348639"
MC Contact No.:,62898889
Name of Managing Agent:,MCST
Managing Agent Contact No.:,62898889
MCST No:,0688
UEN:,S83MC0688G
Date of MC Constitution:,30/08/1983
Development Name:,ROBIN COURT
Status:,Terminated
Development Location:,3 ROBIN DRIVE SINGAPORE 258263
MC Address:,"5001 BEACH ROAD
#4-12 GOLDEN MILE COMPLEX
 SINGAPORE 199588"
MC Contact No.:,68420768
Name of Managing Agent:,ALADDIN MANAGEMENT SOLUTIONS PTE LTD
Managing Agent Contact No.:,68420768
MCST No:,0689
UEN:,S83MC0689C
Date of MC Constitution:,01/09/1983
Development Name:,THE ARCADE
Status:,Active
Development Location:,11 COLLYER QUAY SINGAPORE 49317
MC Address:,"11 COLLYER QUAY
#04-00 THE ARCADE
 SINGAPORE 049317"
MC Contact No.:,62230702
Name of Managing Agent:,Savills Property Management Pte Ltd
Managing Agent Contact No.:,63463238
MCST No:,0690
UEN:,S83MC0690L
Date of MC Constitution:,07/09/1983
Development Name:,PINE COURT
Status:,Active
Development Location:,28A LORONG L TELOK KURAU SINGAPORE 425440
MC Address:,"531 UPPER CROSS STREET
#04-12 HONG LIM COMPLEX
 SINGAPORE 050531"
MC Contact No.:,63345565
Name of Managing Agent:,Dickson Property Consultants Pte Ltd
Managing Agent Contact No.:,63345565
MCST No:,0691
UEN:,S83MC0691G
Date of MC Constitution:,09/09/1983
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,"LORONG MELAYU

 SINGAPORE 416910"
MC Contact No.:,67425643
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0692
UEN:,S83MC0692C
Date of MC Constitution:,15/09/1983
Development Name:,
Status:,Terminated
Development Location:,21B RAMBAI ROAD SINGAPORE 424340
MC Address:,"RAMBAI ROAD

 SINGAPORE 424340"
MC Contact No.:,64472448
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0693
UEN:,S83MC0693K
Date of MC Constitution:,21/09/1983
Development Name:,CHANCERY GARDEN
Status:,Terminated
Development Location:,14 CHANCERY HILL ROAD SINGAPORE 309655
MC Address:,"266 SERANGOON CENTRAL DRIVE
#3-255 CHANCERY GARDEN
 SINGAPORE 550266"
MC Contact No.:,62273233
Name of Managing Agent:,Bernard Valuers & Real Estate Consultants Pte Ltd
Managing Agent Contact No.:,62273233
MCST No:,0694
UEN:,S83MC0694F
Date of MC Constitution:,24/09/1983
Development Name:,40/40A/40B CHANGI ROAD
Status:,Active
Development Location:,40 CHANGI ROAD SINGAPORE 419702
MC Address:,"21 LORONG KILAT
SUN COURT
 SINGAPORE 598123"
MC Contact No.:,64632294
Name of Managing Agent:,Philip Motha Property Management Pte Ltd
Managing Agent Contact No.:,81885511
MCST No:,0695
UEN:,S83MC0695B
Date of MC Constitution:,30/09/1983
Development Name:,TEXTILE CENTRE
Status:,Active
Development Location:,200 JALAN SULTAN SINGAPORE 199018
MC Address:,"200 JALAN SULTAN
#10-03 TEXTILE CENTRE
 SINGAPORE 199018"
MC Contact No.:,62983000
Name of Managing Agent:,Colliers International Consultancy & Valuation (S) Pte Ltd
Managing Agent Contact No.:,62232323
MCST No:,0696
UEN:,S83MC0696J
Date of MC Constitution:,04/10/1983
Development Name:,BISHOPSWALK CONDOMINIUM
Status:,Terminated
Development Location:,40 BISHOPSWALK SINGAPORE 249927
MC Address:,"545 ORCHARD ROAD
#13-10 FAR EAST SHOPPING CENTRE
 SINGAPORE 238882"
MC Contact No.:,67379466
Name of Managing Agent:,SHIN PROPERTY SERVICES PTE LTD
Managing Agent Contact No.:,67379466
MCST No:,0697
UEN:,S83MC0697E
Date of MC Constitution:,05/10/1983
Development Name:,SURREY MANSION
Status:,Terminated
Development Location:,6 SURREY ROAD SINGAPORE 307745
MC Address:,"6 SURREY ROAD
#3-5 SURREY MANSION
 SINGAPORE 307745"
MC Contact No.:,
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0698
UEN:,S83MC0698A
Date of MC Constitution:,06/10/1983
Development Name:,PAK CHONG BUILDING
Status:,Active
Development Location:,78 PLAYFAIR ROAD SINGAPORE 367997
MC Address:,"1 BUKIT MERAH CENTRAL
CHONG HUA TONG TOU TECK HWEE
 SINGAPORE 159834"
MC Contact No.:,96261272
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0699
UEN:,S83MC0699H
Date of MC Constitution:,06/10/1983
Development Name:,MARINE GDN
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,FOCAL PROPERTY SERVICES
Managing Agent Contact No.:,67348316
MCST No:,0700
UEN:,S83MC0700A
Date of MC Constitution:,11/10/1983
Development Name:,Eunos Mansion (Terminiation in progress)
Status:,Terminated
Development Location:,205 JALAN EUNOS SINGAPORE 419535
MC Address:,"205 JALAN EUNOS
EUNOS MANSION
 SINGAPORE 419535"
MC Contact No.:,63393779
Name of Managing Agent:,First Boston Property Consultants Pte Ltd
Managing Agent Contact No.:,63393779
MCST No:,0701
UEN:,S83MC0701H
Date of MC Constitution:,12/10/1983
Development Name:,CHINA AIRLINES MANSION
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0702
UEN:,S83MC0702D
Date of MC Constitution:,12/10/1983
Development Name:,GRENVILLE CONDOMINIUM (Terminated)
Status:,Terminated
Development Location:,
MC Address:,"MOUNT SINAI LANE

 SINGAPORE"
MC Contact No.:,
Name of Managing Agent:,HBA GROUP PROPERTY CONSULTANTS PTE LTD
Managing Agent Contact No.:,63387222
MCST No:,0703
UEN:,S83MC0703L
Date of MC Constitution:,15/10/1983
Development Name:,TANGLIN SHOPPING CENTRE
Status:,Active
Development Location:,19 TANGLIN ROAD SINGAPORE 247909
MC Address:,"19 TANGLIN ROAD
#07-02 TANGLIN SHOPPING CENTRE
 SINGAPORE 247909"
MC Contact No.:,67328751
Name of Managing Agent:,Edmund Tie & Company Property Management Services Pte Ltd
Managing Agent Contact No.:,64179222
MCST No:,0704
UEN:,S83MC0704G
Date of MC Constitution:,15/10/1983
Development Name:,NAMLY PLACE
Status:,Terminated
Development Location:,41 NAMLY PLACE SINGAPORE 267197
MC Address:,"3 KALLANG WAY 2A
FONG TAT BUILDING
 SINGAPORE 347493"
MC Contact No.:,62569333
Name of Managing Agent:,NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD
Managing Agent Contact No.:,62569333
MCST No:,0705
UEN:,S83MC0705C
Date of MC Constitution:,15/10/1983
Development Name:,DYNASTY GARDEN COURT 1
Status:,Terminated
Development Location:,253 SIXTH AVENUE SINGAPORE 276556
MC Address:,"SIXTH AVENUE
DYNASTY GARDEN COURT I
 SINGAPORE 276557"
MC Contact No.:,63723006
Name of Managing Agent:,KNIGHT FRANK ESTATE MANAGEMENT PTE LTD
Managing Agent Contact No.:,63723033
MCST No:,0706
UEN:,S83MC0706K
Date of MC Constitution:,15/10/1983
Development Name:,DYNASTY GARDEN COURT 2
Status:,Active
Development Location:,271 SIXTH AVENUE SINGAPORE 276564
MC Address:,"21 BUKIT BATOK CRESCENT
#26-82 WCEGA TOWER
 SINGAPORE 658065"
MC Contact No.:,6411 1651
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0707
UEN:,S83MC0707F
Date of MC Constitution:,25/10/1983
Development Name:,ST. PATRICK'S VIEW
Status:,Terminated
Development Location:,
MC Address:,"531 UPPER CROSS STREET
#3-52 HONG LIM COMPLEX
 SINGAPORE 50531"
MC Contact No.:,65333375
Name of Managing Agent:,RHODO PROPERTY & EASTATE MGT SVS PTE LTD
Managing Agent Contact No.:,65333375
MCST No:,0708
UEN:,S83MC0708B
Date of MC Constitution:,23/10/1983
Development Name:,enbloc
Status:,Terminated
Development Location:,122C KOON SENG ROAD SINGAPORE 427055
MC Address:,"32 KEONG SAIK ROAD

 SINGAPORE 089139"
MC Contact No.:,
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0709
UEN:,S83MC0709J
Date of MC Constitution:,27/10/1983
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD
Managing Agent Contact No.:,64661342
MCST No:,0710
UEN:,S83MC0710F
Date of MC Constitution:,28/10/1983
Development Name:,VILLAGE TOWER
Status:,Active
Development Location:,35 MOUNT SINAI RISE SINGAPORE 276955
MC Address:,"02 JURONG EAST STREET 21
#05-05 IMM BUILDING
 SINGAPORE 609601"
MC Contact No.:,62523773
Name of Managing Agent:,Exceltec Property Management Pte Ltd
Managing Agent Contact No.:,62523773
MCST No:,0711
UEN:,S83MC0711B
Date of MC Constitution:,02/11/1983
Development Name:,
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,PROPERTY FACILITY SERVICES PTE LTD
Managing Agent Contact No.:,62104373
MCST No:,0712
UEN:,S83MC0712J
Date of MC Constitution:,07/11/1983
Development Name:,VILLA DELLE ROSE
Status:,Active
Development Location:,87A TAMAN NAKHODA SINGAPORE 257742
MC Address:,"25 TAGORE LANE
#04-08/01 
 SINGAPORE 787602"
MC Contact No.:,65549591
Name of Managing Agent:,AMPM Property Consultants Pte Ltd
Managing Agent Contact No.:,65549591
MCST No:,0713
UEN:,S83MC0713E
Date of MC Constitution:,10/11/1983
Development Name:,JADE GARDEN
Status:,Terminated
Development Location:,24B ROBIN ROAD SINGAPORE 258201
MC Address:,"22 ROBIN ROAD
JADE GARDEN
 SINGAPORE 258201"
MC Contact No.:,63233168
Name of Managing Agent:,JONES LANG LASALLE
Managing Agent Contact No.:,65399157
MCST No:,0714
UEN:,S83MC0714A
Date of MC Constitution:,14/11/1983
Development Name:,BALMORAL GARDEN
Status:,Terminated
Development Location:,11B BALMORAL ROAD SINGAPORE 259797
MC Address:,"11B BALMORAL ROAD
BALMORAL GARDEN
 SINGAPORE 259797"
MC Contact No.:,98269043
Name of Managing Agent:,Chamber Property Management Services Pte Ltd
Managing Agent Contact No.:,64685100
MCST No:,0715
UEN:,S83MC0715H
Date of MC Constitution:,16/11/1983
Development Name:,KEN MANSION
Status:,Terminated
Development Location:,23 JALAN RAJAH SINGAPORE 328138
MC Address:,"15 DEFU AVENUE 1

 SINGAPORE 539538"
MC Contact No.:,
Name of Managing Agent:,NIL
Managing Agent Contact No.:,
MCST No:,0716
UEN:,S83MC0716D
Date of MC Constitution:,21/11/1983
Development Name:,BALMORAL PARK (Terminated)
Status:,Terminated
Development Location:,9 BALMORAL PARK SINGAPORE 259844
MC Address:,"BALMORAL PARK

 SINGAPORE"
MC Contact No.:,
Name of Managing Agent:,HBA GROUP PROPERTY CONSULTANTS PTE LTD
Managing Agent Contact No.:,63387222
MCST No:,0717
UEN:,S83MC0717L
Date of MC Constitution:,28/11/1983
Development Name:,THE PLAZA
Status:,Active
Development Location:,7500E BEACH ROAD SINGAPORE 199595
MC Address:,"7500A BEACH ROAD
#02-335 THE PLAZA
 SINGAPORE 199591"
MC Contact No.:,63119459
Name of Managing Agent:,UOL Management Services Pte Ltd
Managing Agent Contact No.:,63119459
MCST No:,0718
UEN:,S83MC0718G
Date of MC Constitution:,12/12/1983
Development Name:,PINEVIEW
Status:,Terminated
Development Location:,
MC Address:,"UBI AVENUE 1
#7-11 
 SINGAPORE 408935"
MC Contact No.:,
Name of Managing Agent:,MCST
Managing Agent Contact No.:,
MCST No:,0719
UEN:,S83MC0719C
Date of MC Constitution:,13/12/1983
Development Name:,Management Corporation Strata Title Plan No. 0719
Status:,Active
Development Location:,307A CHANGI ROAD SINGAPORE 419785
MC Address:,"309 CHANGI ROAD

 SINGAPORE 419787"
MC Contact No.:,67428769
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0720
UEN:,S83MC0720L
Date of MC Constitution:,16/12/1983
Development Name:,BALMORAL TOWER
Status:,Active
Development Location:,27 BALMORAL ROAD SINGAPORE 259808
MC Address:,"27 BALMORAL ROAD
BALMORAL TOWER
 SINGAPORE 259808"
MC Contact No.:,62230169
Name of Managing Agent:,Smart Property Management (Singapore) Pte Ltd
Managing Agent Contact No.:,62230169
MCST No:,0721
UEN:,S83MC0721G
Date of MC Constitution:,17/12/1983
Development Name:,GOODWILL MANSION
Status:,Terminated
Development Location:,355 BALESTIER ROAD SINGAPORE 329782
MC Address:,"63 UBI AVENUE 1
#06-01 
 SINGAPORE 408937"
MC Contact No.:,64884688
Name of Managing Agent:,
Managing Agent Contact No.:,
MCST No:,0722
UEN:,S83MC0722C
Date of MC Constitution:,17/12/1983
Development Name:,RAJAH TOWER
Status:,Active
Development Location:,32 JALAN RAJAH SINGAPORE 329141
MC Address:,"32 JALAN RAJAH
#01-01 RAJAH TOWER
 SINGAPORE 329141"
MC Contact No.:,6250 6528
Name of Managing Agent:,Focus Strata Management Pte Ltd
Managing Agent Contact No.:,64436039
MCST No:,0723
UEN:,S83MC0723K
Date of MC Constitution:,19/12/1983
Development Name:,MARTIA CT
Status:,Terminated
Development Location:,
MC Address:,
MC Contact No.:,
Name of Managing Agent:,ACE BODY CORPORATE MANAGEMENT PTE LTD
Managing Agent Contact No.:,62557997
MCST No:,0724
UEN:,S83MC0724F
Date of MC Constitution:,21/12/1983
Development Name:,HILLVIEW BUILDING
Status:,Active
Development Location:,48 HILLVIEW TERRACE SINGAPORE 669269
MC Address:,"48 HILLVIEW TERRACE
HILLVIEW BUILDING
 SINGAPORE 669269"
MC Contact No.:,6256-9333
Name of Managing Agent:,Newman & Goh Property Consultants Pte Ltd
Managing Agent Contact No.:,6256-9333
MCST No:,0725
UEN:,S84MC0725G
Date of MC Constitution:,11/01/1984
Development Name:,CHING SHINE INDUSTRIAL BUILDING
Status:,Active
Development Location:,20 SHAW ROAD SINGAPORE 367956
