MCST No:,UEN:,Date of MC Constitution:,Development Name:,Status:,Development Location:,MC Address:,MC Contact No.:,Name of Managing Agent:,Managing Agent Contact No.:
2548,T01MC2548C,04/05/2001,BIRMINGHAM MANSION,Active,130 THOMSON ROAD SINGAPORE 307682,"126 JOO SENG ROAD
#06-13 GOLD PINE INDUSTRIAL BUILDING 
 SINGAPORE 368355",65815604,AVALON ASSET MANAGEMENT PTE LTD,96734574
2549,T01MC2549K,04/05/2001,GLENDALE PARK,Active,25 HILLVIEW AVENUE SINGAPORE 669558,"25B HILLVIEW AVENUE
GLENDALE PARK
 SINGAPORE 669618",62694824,KNIGHT FRANK PROPERTY ASSET MANAGEMENT PTE LTD,68485678
2550,T01MC2550G,22/05/2001,HOLT RESIDENCES,Active,5 HOLT ROAD SINGAPORE 249444,"5 HOLT ROAD
HOLT RESIDENCES
 SINGAPORE 249444",62569333,Newman & Goh Property Consultants Pte Ltd,62569333
2551,T01MC2551C,21/05/2001,MELINIA COURT,Active,56 LORONG M TELOK KURAU SINGAPORE 425354,"56 LORONG M TELOK KURAU
MELINIA COURT
 SINGAPORE 415979",64411184,A4 International Pte Ltd,64411184
2552,T01MC2552K,24/05/2001,THE FLORIDA,Active,70 HOUGANG AVENUE 7 SINGAPORE 538804,"70 HOUGANG AVENUE 7
#01-05 THE FLORIDA
 SINGAPORE 538804",64894402,Savills Property Management Pte Ltd,63463238
2553,T01MC2553F,28/05/2001,PALM GARDENS,Active,2E HONG SAN WALK SINGAPORE 689047,"2A HONG SAN WALK
#B1-02 PALM GARDENS
 SINGAPORE 689047",62696394,Smart Property Management (Singapore) Pte Ltd,62230169
2554,T01MC2554B,28/05/2001,ST. THOMAS VILLE,Active,38 ST. THOMAS WALK SINGAPORE 238118,"162 BUKIT MERAH CENTRAL
#06-3545 
 SINGAPORE 150162",62218288,SRE Global Pte Ltd,62218288
2555,T01MC2555J,04/06/2001,AUTOMOBILE MEGAMART,Active,61 UBI AVENUE 2 SINGAPORE 408898,"61 UBI AVENUE 2
#01-22 AUTOMOBILE MEGAMART
 SINGAPORE 408898",68462040,Edmund Tie & Company Property Management Services Pte Ltd,64179222
2556,T01MC2556E,04/06/2001,BURLINGTON SQUARE,Active,175 BENCOOLEN STREET SINGAPORE 189649,"175 BENCOOLEN STREET
#01-45 BURLINGTON SQUARE
 SINGAPORE 189649",63342535,Ocean IFM Pte Ltd,6886 1936
2557,T01MC2557A,06/06/2001,SHUN LI INDUSTRIAL PARK,Active,101 KAKI BUKIT AVENUE 1 SINGAPORE 415985,"61 KAKI BUKIT AVENUE 1
#B1-00 SHUN LI INDUSTRIAL PARK
 SINGAPORE 417943",68460949,Exceltec Property Management Pte Ltd,65665055
2558,T01MC2558H,02/06/2001,NUMBER ONE BUILDING,Active,1 UBI CRESCENT SINGAPORE 408563,"1 UBI CRESCENT
#01-02 NUMBER ONE BUILDING
 SINGAPORE 408563",6977 7835,MCS United Group Holdings Pte Ltd,6977 7835
2559,T01MC2559D,04/06/2001,ANGSANA @ 21,Active,21 LORONG TAHAR SINGAPORE 387757,"21 LORONG TAHAR
#01-01   ANGSANA @ 21 
 SINGAPORE 387757",62501102,Bond Properties Pte Ltd,62501102
2560,T01MC2560A,18/06/2001,KENTISH GREEN,Active,20 OXFORD ROAD SINGAPORE 218815,"20 OXFORD ROAD
#01-01 KENTISH GREEN
 SINGAPORE 218815",62994253,Chambers Property Management Services Pte Ltd,62994253
2561,T01MC2561H,18/06/2001,MOONSTONE VIEW,Active,31 MOONSTONE LANE SINGAPORE 328496,"31 MOONSTONE LANE
#01-00 MOONSTONE VIEW
 SINGAPORE 328496",62956550,Iland Property Consultants Pte Ltd,63488278
2562,T01MC2562D,11/06/2001,MARTINA MANSIONS,Active,315 BUKIT TIMAH ROAD SINGAPORE 257854,"315 BUKIT TIMAH ROAD
MARTINA MANSIONS
 SINGAPORE 259710",64497141,Ascent Property Management Services Pte Ltd,64497141
2563,T01MC2563L,13/06/2001,SERAYA BREEZE,Active,3 SERAYA ROAD SINGAPORE 437235,"3 SERAYA ROAD
#01-01 SERAYA BREEZE
 SINGAPORE 437235",98794680,,
2564,T01MC2564G,23/06/2001,ROBIN REGALIA,Active,35 ROBIN ROAD SINGAPORE 258210,"2 JALAN RAJAH
#02-10 GOLDEN WALL FLATTED FACTORY
 SINGAPORE 329134",65474828,HAUS PROPERTY MANAGEMENT PTE LTD,65474828
2565,T01MC2565C,16/06/2001,190 CHANGI ROAD,Active,190 CHANGI ROAD SINGAPORE 419974,"190 CHANGI ROAD
#04-01 
 SINGAPORE 419974",67967796,,
2566,T01MC2566K,19/06/2001,CROWN BUILDING,Terminated,37 LORONG 20 GEYLANG SINGAPORE 398753,"101 JOO CHIAT ROAD
#1-1 FRAGRANCE COURT
 SINGAPORE 427395",,CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD,62218288
2567,T01MC2567F,02/07/2001,GUILIN VIEW,Active,20 BUKIT BATOK STREET 52 SINGAPORE 659244,"30 BUKIT BATOK STREET 52
#B1-01 GUILIN VIEW
 SINGAPORE 659249",68613831,Knight Frank Property Asset Management Pte Ltd,68613831
2568,T01MC2568B,03/07/2001,D'MANOR,Active,13 TANAH MERAH KECHIL AVENUE SINGAPORE 465674,"93 TANAH MERAH KECHIL AVENUE
D'MANOR
 SINGAPORE 465674",62443896,RHODO INTERNATIONAL STRATA MANAGEMENT SERVICES PTE LTD,65333375
2569,T01MC2569J,05/07/2001,OVADA EIGHT,Active,127 KOON SENG ROAD SINGAPORE 427071,"531 UPPER CROSS STREET
#04-12 HONG LIM COMPLEX
 SINGAPORE 050531",63345565,Dickson Property Consultants Pte Ltd,63345565
2570,T01MC2570F,12/07/2001,THE HILLSIDE,Active,341 UPPER BUKIT TIMAH ROAD SINGAPORE 588195,"347 UPPER BUKIT TIMAH ROAD
#01-01 THE HILLSIDE
 SINGAPORE 588198",63106401,,
2571,T01MC2571B,14/07/2001,VILLA MARTIA,Active,11 MARTIA ROAD SINGAPORE 424808,"11 MARTIA ROAD
VILLA MARTIA
 SINGAPORE 424808",62523773,Exceltec Property Management Pte Ltd,62523773
2572,T01MC2572J,27/07/2001,WOODGROVE CONDOMINIUM,Active,2 WOODGROVE DRIVE SINGAPORE 738207,"4 WOODGROVE DRIVE
#01-65 WOODGROVE CONDOMINIUM
 SINGAPORE 738208",63103421,Dickson Property Consultants Pte Ltd,63345565
2573,T01MC2573E,30/07/2001,HERITAGE VIEW,Active,6 DOVER RISE SINGAPORE 138678,"8 DOVER RISE
#01-05 HERITAGE VIEW
 SINGAPORE 138679",6773 8083,Savills Property Management Pte Ltd,67738083
2574,T01MC2574A,27/07/2001,WALTON GARDEN,Active,5 WALTON ROAD SINGAPORE 436824,"531 UPPER CROSS STREET
#03-52 HONG LIM COMPLEX
 SINGAPORE 050531",65333375,Rhodo Strata Management Services Pte Ltd,65333375
2575,T01MC2575H,07/08/2001,HIGH OAK CONDOMINIUM,Active,11 TOH TUCK ROAD SINGAPORE 596290,"11 TOH TUCK ROAD
#01-51 HIGH OAK CONDOMINIUM
 SINGAPORE 596290",64675449,,
2576,T01MC2576D,13/08/2001,THE BENCOOLEN,Active,180 BENCOOLEN STREET SINGAPORE 189646,"16 RAFFLES QUAY
#11-01 HONG LEONG BUILDING
 SINGAPORE 048581",62207535,,
2577,T01MC2577L,17/08/2001,CLAREMONT,Active,161 KILLINEY ROAD SINGAPORE 239569,"161 KILLINEY ROAD
#01-02 CLAREMONT
 SINGAPORE 239569",68363450,RHODO INTERNATIONAL STRATA MANAGEMENT SERVICES PTE LTD,65333375
2578,T01MC2578G,16/08/2001,EMERALD EAST,Active,8D TANJONG RHU ROAD SINGAPORE 436892,"2 KALLANG AVENUE
#07-32 CT HUB
 SINGAPORE 339407",62915355,Wisely 98 Pte Ltd,62915355
2579,T01MC2579C,17/08/2001,SUNFLOWER COURT,Active,30 LORONG 6 GEYLANG SINGAPORE 399182,"531 UPPER CROSS STREET
#04-12 HONG LIM COMPLEX
 SINGAPORE 050531",63345565,Dickson Property Consultants Pte Ltd,63345565
2580,T01MC2580L,23/08/2001,WINDERMERE,Active,20 CHOA CHU KANG STREET 64 SINGAPORE 689093,"24 CHOA CHU KANG STREET 64
#01-01 WINDERMERE CONDOMINIUM
 SINGAPORE 689095",67671521,Newman & Goh Property Consultants Pte Ltd,62569333
2581,T01MC2581G,31/08/2001,EMERALD GARDEN,Active,33 CLUB STREET SINGAPORE 69415,"33 CLUB STREET
#01-01 EMERALD GARDEN
 SINGAPORE 069415",65381545,Knight Frank Property Asset Management Pte Ltd,65381545
2582,T01MC2582C,30/08/2001,BUTTERWORTH VIEW,Active,21 BUTTERWORTH LANE SINGAPORE 439431,"50 CHIN SWEE ROAD
#09-02 THONG CHAI BUILDING
 SINGAPORE 169874",67322220,Sierra Asset Management Pte Ltd,67322220
2583,T01MC2583K,12/09/2001,NOVENA LODGE,Active,2 JALAN MERLIMAU SINGAPORE 308729,"2 JALAN MERLIMAU
#01-14 NOVENA LODGE
 SINGAPORE 308729",80113117,,
2584,T01MC2584F,28/09/2001,REGENT GROVE,Active,50 CHOA CHU KANG NORTH 7 SINGAPORE 689527,"52 CHOA CHU KANG NORTH 7
#01-23 REGENT GROVE
 SINGAPORE 689528",67663801,Melana International Pte Ltd,67663801
2585,T01MC2585B,05/09/2001,UBI 55,Active,55 UBI AVENUE 1 SINGAPORE 408935,"55 UBI AVENUE 1
#01-01 UBI 55
 SINGAPORE 408935",68442192,Knight Frank Property Asset Management Pte Ltd,68485704
2586,T01MC2586J,21/09/2001,THE RIVERVALE,Active,1 RIVERVALE LINK SINGAPORE 545118,"3 RIVERVALE LINK
#02-30 THE RIVERVALE CONDOMINIUM
 SINGAPORE 545119",64890310,,
2587,T01MC2587E,25/09/2001,SELETAR SPRINGS,Active,100 GERALD DRIVE SINGAPORE 798592,"108 GERALD DRIVE
#02-28 SELETAR SPRINGS 
 SINGAPORE 799035",64835079,Knight Frank Property Asset Management Pte Ltd,6848 5678
2588,T01MC2588A,18/09/2001,CHATEAU LE FAME,Active,51 EWE BOON ROAD SINGAPORE 259345,"51 EWE BOON ROAD
#B1-01 CHATEAU LE FAME
 SINGAPORE 259345",96220355,RealtyLink Consultancy Pte Ltd,96220355
2589,T01MC2589H,18/09/2001,CASA EMERALD,Active,51 LORONG 32 GEYLANG SINGAPORE 398311,"51 LORONG 32 GEYLANG
#01-00 CASA EMERALD
 SINGAPORE 398311",94792904,Camrie Project and Estate Management,94792904
2590,T01MC2590E,19/09/2001,PARKWAY LODGE (Terminated),Terminated,525 JOO CHIAT ROAD SINGAPORE 427705,"441A JOO CHIAT ROAD
RISING COURT
 SINGAPORE 427654",63459634,,
2591,T01MC2591A,02/10/2001,MELROSE PARK,Active,91 KELLOCK ROAD SINGAPORE 248903,"93 KELLOCK ROAD
#01-01 MELROSE PARK
 SINGAPORE 248904",68873031,Knight Frank Property Asset Management Pte Ltd,68873013
2592,T01MC2592H,03/10/2001,SUNSHINE PLAZA,Active,10 PRINSEP LINK SINGAPORE 187948,"10 PRINSEP LINK
#05-08 SUNSHINE PLAZA
 SINGAPORE 187948",63342287,Empire City Consultant Pte Ltd,65130808
2593,T01MC2593D,04/10/2001,NEW COURT,Active,35 JALAN DUSUN SINGAPORE 329387,"31 SUNGEI KADUT STREET 1
NEW COURT
 SINGAPORE 729337",62697791,Whye Wah Development & Construction Pte Ltd,62697791
2594,T01MC2594L,05/10/2001,SHAW PLAZA-TWIN HEIGHTS,Active,352 BALESTIER ROAD SINGAPORE 329780,"350 BALESTIER ROAD
#01-01 SHAW PLAZA-TWIN HEIGHTS
 SINGAPORE 329779",63452117,Total Estate Management Services Pte Ltd,63452117
2595,T01MC2595G,08/10/2001,NO. 1 HOLT ROAD,Active,1 HOLT ROAD SINGAPORE 249441,"1 HOLT ROAD
NO.1 HOLT ROAD
 SINGAPORE 249441",67368137,Savills Property Management Pte Ltd,67368137
2596,T01MC2596C,15/10/2001,THE TROPICA,Active,51 TAMPINES AVENUE 1 SINGAPORE 529771,"59 TAMPINES AVENUE 1
#01-04 THE TROPICA
 SINGAPORE 529775",67852652,Savills Property Management Pte Ltd,67368127
2597,T01MC2597K,09/10/2001,,Active,,"45 MAXWELL ROAD
06-11 
 SINGAPORE 069118",,,
2598,T01MC2598F,17/10/2001,LAGUNA 88,Active,44 EASTWOOD ROAD SINGAPORE 486356,"44 EASTWOOD ROAD
#02-23 LAGUNA88
 SINGAPORE 486355",6221 8288,SRE Management Services Pte Ltd,6245 8741
2599,T01MC2599B,17/10/2001,PAYA UBI INDUSTRIAL PARK,Active,51 UBI AVENUE 1 SINGAPORE 408933,"51 UBI AVENUE 1
#01-01A PAYA UBI INDUSTRIAL PARK
 SINGAPORE 408933",67473869,PIP MARKETING PTE LTD,67482401
2600,T01MC2600F,22/10/2001,FLORAVALE CONDOMINIUM,Active,218 WESTWOOD AVENUE SINGAPORE 648351,"240 WESTWOOD AVENUE
#02-46 FLORAVALE CONDOMINIUM
 SINGAPORE 648364",67902700,Wisely 98 Pte Ltd,62915355
2601,T01MC2601B,19/10/2001,TRADS BUILDING,Active,95 RANGOON ROAD SINGAPORE 218380,"51 BUKIT BATOK CRESCENT
#8-6 UNITY CENTRE
 SINGAPORE 658077",94875464,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64645100
2602,T01MC2602J,29/10/2001,Grandlink Square,Active,511 GUILLEMARD ROAD SINGAPORE 399847,"511 GUILLEMARD ROAD
#03-17 GRANDLINK SQUARE
 SINGAPORE 399849",67488580,Smart Property Management (Singapore) Pte Ltd,62230169
2603,T01MC2603E,26/10/2001,PARC STEVENS,Active,23 STEVENS DRIVE SINGAPORE 257914,"23 STEVENS DRIVE
#B1-01 PARC STEVENS
 SINGAPORE 257914",67363697,Newman & Goh Property Consultants Pte Ltd,62569333
2604,T01MC2604A,30/10/2001,NORTHOAKS CONDOMINIUM,Active,20 WOODLANDS CRESCENT SINGAPORE 738081,"24 WOODLANDS CRESCENT
#01-49 NORTHOAKS CONDOMINIUM
 SINGAPORE 738083",68941197,RIM Property Management Pte Ltd,6547 4828
2605,T01MC2605H,02/11/2001,YEW MEI GREEN,Active,50 CHOA CHU KANG NORTH 6 SINGAPORE 689574,"54 CHOA CHU KANG NORTH 6
#01-38 YEW MEI GREEN
 SINGAPORE 689576",62692535,Asia Properties & Assets Consultancy Pte Ltd,6802 3129
2606,T01MC2606D,26/10/2001,GAMBIER COURT,Active,66 KIM YAM ROAD SINGAPORE 239361,"66 KIM YAM ROAD
GAMBIER COURT
 SINGAPORE 239381",98442235,,
2607,T01MC2607L,27/10/2001,NEW CENTURY,Active,6 NEW INDUSTRIAL ROAD SINGAPORE 536199,"6 NEW INDUSTRIAL ROAD
#08-01 NEW CENTURY
 SINGAPORE 536199",62895255,,
2608,T01MC2608G,07/11/2001,SUNFLOWER RESIDENCE,Active,45 LORONG 32 GEYLANG SINGAPORE 398305,"50 CHIN SWEE ROAD
#09-02 THONG CHAI BUILDING
 SINGAPORE 169874",67322220,Sierra Asset Management Pte Ltd,67322220
2609,T01MC2609C,13/11/2001,FERNHILL COTTAGE,Active,62 FERNHILL ROAD SINGAPORE 259141,"504 JURONG WEST STREET 51
#03-209 
 SINGAPORE 640504",67792711,Stature Real Estate Enterprises Pte Ltd,67792711
2610,T01MC2610L,15/11/2001,7 DRAYCOTT,Active,7 DRAYCOTT DRIVE SINGAPORE 259421,"7 DRAYCOTT DRIVE
#02-01 
 SINGAPORE 259421",62207535,Kingston Property Maintenance Services Pte Ltd,62207535
2611,T01MC2611G,21/11/2001,SPRING GARDENS,Active,141 HAIG ROAD SINGAPORE 438769,"540 SIMS AVENUE
#03-06 SIMS AVENUE CENTRE
 SINGAPORE 387603",68421731,Landsfield Property Management Pte Ltd,68421731
2612,T01MC2612C,21/11/2001,CENTRAL GROVE CONDOMINIUM,Active,3 GEYLANG EAST AVENUE 1 SINGAPORE 389779,"3 GEYLANG EAST AVENUE 1
#01-13 CENTRAL GROVE CONDOMINIUM
 SINGAPORE 389779",68429214,A4 International Pte Ltd,6842 9214
2613,T01MC2613K,23/11/2001,YOLLAND INVESTMENTS PTE LTD,Active,131/A/B KITCHENER ROAD SINGAPORE 208514,"24 VEERASAMY ROAD

 SINGAPORE 207329",62930863,,
2614,T01MC2614F,23/11/2001,Management Corporation Strata Title No. 2614,Terminated,5 GEMMILL LANE SINGAPORE 69261,"21B DUXTON HILL

 SINGAPORE 089604",64420028,NEWMAN & GOH PROPERTY CONSULTANTS (PTE) LTD,62569333
2615,T01MC2615B,10/12/2001,CAMELOT BY-THE-WATER,Active,110 TANJONG RHU ROAD SINGAPORE 436928,"114 TANJONG RHU ROAD
#01-01 CAMELOT BY-THE-WATER
 SINGAPORE 436930",63451893,Savills Property Management Pte Ltd,96629449
2616,T01MC2616J,03/12/2001,EUNOS TECH PARK,Active,60 KAKI BUKIT PLACE SINGAPORE 415979,"60 KAKI BUKIT PLACE
#03-21 EUNOS TECH PARK 
 SINGAPORE 415979",65470154,Melana International Pte Ltd,63271110
2617,T01MC2617E,10/12/2001,UBI CENTRE,Active,57 UBI AVENUE 1 SINGAPORE 408936,"57 UBI AVENUE 1
#01-01 UBI CENTRE
 SINGAPORE 408936",67432823,Ocean IFM Pte Ltd,68861936
2618,T01MC2618A,08/12/2001,Management Corporation Strata Title No. 2618,Active,108 YIO CHU KANG ROAD SINGAPORE 545578,"531 UPPER CROSS STREET
#04-12 HONG LIM COMPLEX
 SINGAPORE 050531",63345565,Dickson Property Consultants Pte Ltd,63345565
2619,T01MC2619H,18/12/2001,DE LENTE,Active,104 HOLLAND ROAD SINGAPORE 278547,"104 HOLLAND ROAD
#B1-01 DE LENTE
 SINGAPORE 278547",65333375,RHODO INTERNATIONAL STRATA MANAGEMENT SERVICES PTE LTD,65333375
2620,T01MC2620E,24/12/2001,CASA ROSA CONDOMINIUM,Active,35 LORONG ONG LYE SINGAPORE 536443,"35A-37 LORONG ONG LYE
#02-13 CASA ROSA
 SINGAPORE 536443",6909 9969,Eric Ong & Associates Pte Ltd,6909 9969
2621,T01MC2621A,26/12/2001,THE MAYFAIR,Active,1 JURONG EAST STREET 32 SINGAPORE 609477,"9 JURONG EAST STREET 32
#01-01 THE MAYFAIR
 SINGAPORE 609481",67913098,Smart Property Management (Singapore) Pte Ltd,62230169
2622,T02MC2622B,03/01/2002,SUMMERDALE,Active,2 BOON LAY DRIVE SINGAPORE 649925,"4 BOON LAY DRIVE
#01-33 SUMMERDALE 
 SINGAPORE 649926",62230169,Smart Property Management (Singapore) Pte Ltd,62230169
2623,T01MC2623D,26/12/2001,CHOON MOEY MANSIONS,Active,36 LORONG 31 GEYLANG SINGAPORE 388034,"36 LORONG 31 GEYLANG
#01-01 CHOON MOEY MANSIONS
 SINGAPORE 388034",96678921,,
2624,T01MC2624L,29/12/2001,CANBERLIN LODGE,Active,69 LORONG 6 GEYLANG SINGAPORE 399221,"69 LORONG 6 GEYLANG
CANBERLIN LODGE
 SINGAPORE 399221",62218288,SRE Management Services Pte Ltd,6221 8288
2625,T02MC2625A,01/02/2002,WATERFRONT VIEW,Terminated,731 BEDOK RESERVOIR ROAD SINGAPORE 470732,"735 BEDOK RESERVOIR ROAD
#1-5294 WATERFRONT VIEW
 SINGAPORE 470735",64465258,MCST,
2626,T01MC2626C,29/12/2001,CANBERLIN APARTMENTS,Active,60 LORONG 16 GEYLANG SINGAPORE 398887,"60 LORONG 16 GEYLANG
CANBERLIN APARTMENTS
 SINGAPORE 398887",68421731,Landsfield Property Management Pte Ltd,68421731
2627,T02MC2627D,13/01/2002,THE TREVOSE,Active,60 TREVOSE CRESCENT SINGAPORE 298090,"60 TREVOSE CRESCENT
#01-35 THE TREVOSE
 SINGAPORE 298090",6252 4574,Landsfield Property Consultants Pte Ltd,6842 1731
2628,T02MC2628L,17/01/2002,PACIFIC TECH CENTRE (Terminated),Terminated,1 JALAN KILANG TIMOR SINGAPORE 159303,"1 JALAN KILANG TIMOR
#10-0 PACIFIC TECH CENTRE
 SINGAPORE 159303",63709960,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100
2629,T02MC2629G,16/01/2002,Management Corporation Strata Title No. 2629,Active,27B LORONG 13 GEYLANG SINGAPORE 388670,"158 TAMPINES STREET 12
#11-69 
 SINGAPORE 521158",93855119,MCST,
2630,T02MC2630D,22/01/2002,EMPIRE TECHNOCENTRE,Active,30 KAKI BUKIT ROAD 3 SINGAPORE 417819,"30 KAKI BUKIT ROAD 3
#01-17 EMPIRE TECHNOCENTRE
 SINGAPORE 417819",67490860,First Boston Property Consultants Pte Ltd,63393779
2631,T02MC2631L,22/01/2002,RANGOON VIEW,Active,223 RANGOON ROAD SINGAPORE 218460,"50 CHIN SWEE ROAD
#09-02 THONG CHAI BUILDING
 SINGAPORE 169874",67322220,Sierra Asset Management Pte Ltd,67322220
2632,T02MC2632G,22/01/2002,HOMEY GARDENS,Active,4 LORONG M TELOK KURAU SINGAPORE 425283,"38C JALAN PEMIMPIN
#03-01 BOSCH BUILDING
 SINGAPORE 577180",62230169,Smart Property Management (Singapore) Pte Ltd,62230169
2633,T02MC2633C,28/01/2002,TANGLIN VIEW,Active,150 PRINCE CHARLES CRESCENT SINGAPORE 159012,"154 PRINCE CHARLES CRESCENT
#01-22 TANGLIN VIEW
 SINGAPORE 159014",64722141,Rhodo Property & Estate Management Services Pte Ltd,65333375
2634,T02MC2634K,22/01/2002,CENTRAL PLAZA & TIONG BAHRU PLAZA,Active,302 TIONG BAHRU ROAD SINGAPORE 168730,"438 ALEXANDRA ROAD
#21-00 ALEXANDRA POINT
 SINGAPORE 119958",6737 9000,Frasers property retail management pte ltd,6737 9000
2635,T02MC2635F,04/02/2002,BALLOTA PARK CONDOMINIUM,Active,152 MARIAM WAY SINGAPORE 507080,"162 MARIAM WAY
#B1-01 BALLOTA PARK 
 SINGAPORE 507085",65450847,Savills Property Management Pte Ltd,63463238
2636,T02MC2636B,26/01/2002,KIM KEAT HOUSE,Active,60 KIM KEAT ROAD SINGAPORE 328827,"53 KIM KEAT ROAD
#05-02 MUN HEAN BUILDING
 SINGAPORE 328823",94504718,GKS STEVENSON MANAGEMENT AND CONSULTANCY,94504718
2637,T02MC2637J,02/02/2002,WILKIE VALE,Active,64 WILKIE ROAD SINGAPORE 228067,"50 CHIN SWEE ROAD
#09-02 THONG CHAI BUILDING
 SINGAPORE 169874",67322220,Sierra Asset Management Pte Ltd,67322220
2638,T02MC2638E,31/01/2002,SOPHIA VIEW,Active,108 SOPHIA ROAD SINGAPORE 228173,"108 SOPHIA ROAD
#02-01 SOPHIA VIEW
 SINGAPORE 228173",94513555,,
2639,T02MC2639A,09/02/2002,CASA SARINA,Active,101 LORONG SARINA SINGAPORE 416729,"101 LORONG SARINA
#01-00 CASA SARINA
 SINGAPORE 416729",66122191,Chambers Property Management Services Pte Ltd,66122191
2640,T02MC2640J,05/02/2002,Management Corporation Strata Title No. 2640,Active,38 WOODLANDS INDUSTRIAL PARK E1 SINGAPORE 757700,"38 WOODLANDS INDUSTRIAL PARK E1
#01-08A 
 SINGAPORE 757700",62691143,Phamous Facilities Management Pte Ltd,97253126
2641,T02MC2641E,05/02/2002,10 KIM KEAT ROAD,Active,10 KIM KEAT ROAD SINGAPORE 328844,"10 KIM KEAT ROAD

 SINGAPORE 328844",96353913,,
2642,T02MC2642A,05/02/2002,Management Corporation Strata Title No. 2642,Active,35 KIM YAM ROAD SINGAPORE 239343,"35 KIM YAM ROAD
#03-02 
 SINGAPORE 239343",92379237,,
2643,T02MC2643H,20/02/2002,WOODSVALE CONDOMINIUM,Active,17 WOODLANDS DRIVE 72 SINGAPORE 738089,"19 WOODLANDS DRIVE 72
#01-52 WOODSVALE CONDOMINIUM
 SINGAPORE 738098",63629184,,
2644,T02MC2644D,01/04/2002,TAMPINES COURT (Terminated),Terminated,118 TAMPINES STREET 11 SINGAPORE 521118,"120 TAMPINES STREET 11
#01-290 TAMPINES COURT
 SINGAPORE 521120",67877566,Abacus Property Management Pte Ltd,67877566
2645,T02MC2645L,27/02/2002,ARDMORE PARK,Active,11 ARDMORE PARK SINGAPORE 259957,"13 ARDMORE PARK
#01-01 ARDMORE PARK
 SINGAPORE 259961",67330862,Knight Frank Property Asset Management Pte Ltd,68485606
2646,T02MC2646G,27/02/2002,SYH LOGISTICS BUILDING,Active,68 KALLANG PUDDING ROAD SINGAPORE 349327,"68 KALLANG PUDDING ROAD
#-1 SYH LOGISTICS BUILDING
 SINGAPORE 349327",67474931,KNIGHT FRANK ESTATE MANAGEMENT PTE LTD,63723033
2647,T02MC2647C,28/02/2002,CITYRAYA CENTRE,Active,30 LORONG 27 GEYLANG SINGAPORE 388164,"10 JALAN BESAR
#09-11 CITIRAYA CENTRE
 SINGAPORE 208787",62982100,Parkland Property Services Pte Ltd,62982100
2648,T02MC2648K,08/03/2002,FABER CREST CONDOMINIUM,Active,50N FABER HEIGHTS SINGAPORE 129200,"50N FABER HEIGHTS
#01-92 FABER CREST CONDOMINIUM
 SINGAPORE 129207",67773175,Newman & Goh Property Consultants Pte Ltd,2569333
2649,T02MC2649F,22/03/2002,WINTECH CENTRE,Active,6 UBI ROAD 1 SINGAPORE 408726,"6 UBI ROAD 1
#B1-01 WINTECH CENTRE
 SINGAPORE 408726",68442971,Ocean IFM Pte Ltd,90043236
2650,T02MC2650C,21/03/2002,YISHUN SAPPHIRE,Active,48 YISHUN AVENUE 7 SINGAPORE 768437,"44 CANBERRA DRIVE
#01-29 YISHUN SAPPHIRE
 SINGAPORE 768435",6553 5810,Absolut Properties Pte Ltd,6702 6018
2651,T02MC2651K,01/04/2002,EVER LODGE,Active,685 GEYLANG ROAD SINGAPORE 389686,"1014 GEYLANG EAST AVENUE 3
#02-186 
 SINGAPORE 389729",67441083,The Lock Management Services Pte Ltd,67441083
2652,T02MC2652F,01/04/2002,AVARI CENTRE,Active,683 GEYLANG ROAD SINGAPORE 389685,"683 GEYLANG ROAD
GOLDPINE INDUSTRIAL BUILDING
 SINGAPORE 389685",68718767,Crimson Estate Management Pte Ltd,6871 8767
2653,T02MC2653B,09/04/2002,DUNMAN PLACE,Active,515 DUNMAN ROAD SINGAPORE 439204,"515 DUNMAN ROAD
#01-02 DUNMAN PLACE
 SINGAPORE 439204",68485661,Knight Frank Property Asset Management Pte Ltd,68485661
2654,T02MC2654J,16/04/2002,COSY LODGE,Active,29 LORONG 31 GEYLANG SINGAPORE 388029,"29 LORONG 31 GEYLANG
#01-00 COSY LODGE
 SINGAPORE 388029",65837867,Vinco Real Estate Management Pte Ltd,65837867
2655,T02MC2655E,11/04/2002,SONG LANG GREEN,Active,48 KOON SENG ROAD SINGAPORE 426983,"48 KOON SENG ROAD
#01-01 SONG LANG GREEN
 SINGAPORE 426983",88263927,,
2656,T02MC2656A,11/04/2002,SOPHIA 98,Active,98 SOPHIA ROAD SINGAPORE 228165,"105 SIMS AVENUE
#08-04 CHANCERLODGE COMPLEX
 SINGAPORE 387429",67330448,,
2657,T02MC2657H,15/04/2002,CHOON KIM HOUSE,Active,780 UPPER SERANGOON ROAD SINGAPORE 534649,"780 UPPER SERANGOON ROAD
#01-08 CHOON KIM HOUSE
 SINGAPORE 534649",69333838,Affinity Property Consultants Pte Ltd,69333838
2658,T02MC2658D,23/04/2002,SUMMERHILL,Active,50/56 HUME AVENUE SINGAPORE 596229,"56 HUME AVENUE
#02-01 SUMMERHILL
 SINGAPORE 596232",62195946,,
